FECHA_RESULTADO,DEPARTAMENTO,SEXO,casos_positivos
2020-04-04,UCAYALI,MASCULINO,3
2020-04-05,AMAZONAS,FEMENINO,3
2020-04-05,AMAZONAS,MASCULINO,1
2020-04-05,ANCASH,FEMENINO,5
2020-04-05,ANCASH,MASCULINO,2
2020-04-05,AREQUIPA,FEMENINO,3
2020-04-05,AREQUIPA,MASCULINO,5
2020-04-05,AYACUCHO,FEMENINO,1
2020-04-05,CALLAO,FEMENINO,7
2020-04-05,CALLAO,MASCULINO,39
2020-04-05,CUSCO,FEMENINO,1
2020-04-05,CUSCO,MASCULINO,1
2020-04-05,HUANCAVELICA,FEMENINO,1
2020-04-05,HUANUCO,FEMENINO,1
2020-04-05,ICA,FEMENINO,3
2020-04-05,ICA,MASCULINO,1
2020-04-05,JUNIN,FEMENINO,3
2020-04-05,JUNIN,MASCULINO,1
2020-04-05,LA LIBERTAD,FEMENINO,1
2020-04-05,LA LIBERTAD,MASCULINO,5
2020-04-05,LAMBAYEQUE,FEMENINO,5
2020-04-05,LAMBAYEQUE,MASCULINO,3
2020-04-05,LIMA,FEMENINO,116
2020-04-05,LIMA,MASCULINO,180
2020-04-05,LORETO,FEMENINO,15
2020-04-05,LORETO,MASCULINO,16
2020-04-05,PASCO,FEMENINO,1
2020-04-05,PASCO,MASCULINO,1
2020-04-06,AMAZONAS,MASCULINO,1
2020-04-06,ANCASH,FEMENINO,5
2020-04-06,ANCASH,MASCULINO,8
2020-04-06,AREQUIPA,FEMENINO,3
2020-04-06,AREQUIPA,MASCULINO,4
2020-04-06,CALLAO,FEMENINO,18
2020-04-06,CALLAO,MASCULINO,43
2020-04-06,CUSCO,FEMENINO,1
2020-04-06,HUANCAVELICA,FEMENINO,3
2020-04-06,HUANCAVELICA,MASCULINO,2
2020-04-06,HUANUCO,FEMENINO,2
2020-04-06,HUANUCO,MASCULINO,1
2020-04-06,ICA,FEMENINO,1
2020-04-06,ICA,MASCULINO,6
2020-04-06,LA LIBERTAD,FEMENINO,2
2020-04-06,LA LIBERTAD,MASCULINO,2
2020-04-06,LAMBAYEQUE,FEMENINO,13
2020-04-06,LAMBAYEQUE,MASCULINO,13
2020-04-06,LIMA,FEMENINO,188
2020-04-06,LIMA,MASCULINO,275
2020-04-06,LORETO,FEMENINO,8
2020-04-06,LORETO,MASCULINO,2
2020-04-06,MOQUEGUA,MASCULINO,1
2020-04-06,PIURA,FEMENINO,1
2020-04-06,PIURA,MASCULINO,6
2020-04-06,PUNO,FEMENINO,1
2020-04-06,TUMBES,MASCULINO,3
2020-04-06,UCAYALI,FEMENINO,3
2020-04-06,UCAYALI,MASCULINO,2
