FECHA_FALLECIMIENTO,DEPARTAMENTO,SEXO,defunciones
2020-04-11,LAMBAYEQUE,FEMENINO,2
2020-04-11,LIMA,MASCULINO,35
2020-04-11,LIMA,FEMENINO,19
2020-04-11,LORETO,MASCULINO,2
2020-04-11,PIURA,MASCULINO,3
2020-04-11,PIURA,FEMENINO,1
2020-04-11,TUMBES,FEMENINO,1
2020-04-11,UCAYALI,MASCULINO,2
2020-04-12,ANCASH,MASCULINO,2
2020-04-12,ANCASH,FEMENINO,1
2020-04-12,AREQUIPA,MASCULINO,1
2020-04-12,CALLAO,MASCULINO,5
2020-04-12,CALLAO,FEMENINO,3
2020-04-12,ICA,MASCULINO,1
2020-04-12,ICA,FEMENINO,4
2020-04-12,JUNIN,FEMENINO,2
2020-04-12,LA LIBERTAD,MASCULINO,1
2020-04-12,LA LIBERTAD,FEMENINO,2
2020-04-12,LAMBAYEQUE,MASCULINO,9
2020-04-12,LAMBAYEQUE,FEMENINO,4
2020-04-12,LIMA,MASCULINO,43
2020-04-12,LIMA,FEMENINO,20
2020-04-12,LORETO,MASCULINO,5
2020-04-12,LORETO,FEMENINO,1
2020-04-12,PIURA,MASCULINO,3
2020-04-12,PIURA,FEMENINO,1
2020-04-12,TUMBES,MASCULINO,1
2020-04-13,ANCASH,MASCULINO,2
2020-04-13,ANCASH,FEMENINO,1
2020-04-13,AREQUIPA,MASCULINO,2
2020-04-13,AREQUIPA,FEMENINO,1
2020-04-13,CAJAMARCA,MASCULINO,2
2020-04-13,CALLAO,MASCULINO,9
2020-04-13,CALLAO,FEMENINO,2
2020-04-13,ICA,MASCULINO,2
2020-04-13,ICA,FEMENINO,3
2020-04-13,JUNIN,MASCULINO,3
2020-04-13,LA LIBERTAD,MASCULINO,1
2020-04-13,LAMBAYEQUE,MASCULINO,10
2020-04-13,LIMA,MASCULINO,45
2020-04-13,LIMA,FEMENINO,16
2020-04-13,PIURA,MASCULINO,5
